,date,url_match,left_rounds_seq,right_rounds_seq
21,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141075/avangar-vs-iron-branch,"['1-0', '2-0', '3-0', '4-0', '', '5-1', '6-1', '', '', '7-3', '8-3', '9-3', '10-3', '', '', '', '', '', '', '11-9', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '4-1', '', '', '6-2', '6-3', '', '', '', '', '10-4', '10-5', '10-6', '10-7', '10-8', '10-9', '', '11-10', '11-11', '11-12', '11-13', '11-14', '11-15', '11-16', '', '', '']"
22,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141074/ec-kyiv-vs-websterz,"['', '', '', '1-3', '', '', '2-5', '3-5', '4-5', '', '', '', '5-8', '', '', '6-10', '', '', '', '', '', '7-15', '8-15', '', '', '', '', '', '', '']","['0-1', '0-2', '0-3', '', '1-4', '1-5', '', '', '', '4-6', '4-7', '4-8', '', '5-9', '5-10', '', '6-11', '6-12', '6-13', '6-14', '6-15', '', '', '8-16', '', '', '', '', '', '']"
23,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141073/ec-kyiv-vs-websterz,"['1-0', '', '', '', '', '2-4', '3-4', '4-4', '5-4', '6-4', '7-4', '8-4', '', '9-5', '10-5', '11-5', '12-5', '13-5', '', '', '', '', '', '14-10', '15-10', '16-10', '', '', '', '']","['', '1-1', '1-2', '1-3', '1-4', '', '', '', '', '', '', '', '8-5', '', '', '', '', '', '13-6', '13-7', '13-8', '13-9', '13-10', '', '', '', '', '', '', '']"
24,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141072/websterz-vs-ec-kyiv,"['', '', '', '', '', '1-5', '2-5', '3-5', '4-5', '5-5', '6-5', '', '7-6', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['0-1', '0-2', '0-3', '0-4', '0-5', '', '', '', '', '', '', '6-6', '', '7-7', '7-8', '7-9', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '7-16', '', '', '', '', '', '', '']"
25,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141071/astralis-talent-vs-eternal-fire-academy,"['', '1-1', '2-1', '3-1', '4-1', '5-1', '', '', '', '', '', '', '', '', '', '', '6-11', '7-11', '8-11', '9-11', '10-11', '11-11', '12-11', '', '', '', '', '13-15', '', '']","['0-1', '', '', '', '', '', '5-2', '5-3', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9', '5-10', '5-11', '', '', '', '', '', '', '', '12-12', '12-13', '12-14', '12-15', '', '13-16', '']"
26,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141069/prospects-vs-navi-junior,"['', '', '', '', '1-4', '2-4', '3-4', '4-4', '5-4', '', '6-5', '7-5', '', '', '8-7', '', '', '', '9-10', '10-10', '11-10', '12-10', '', '', '13-12', '', '14-13', '15-13', '16-13', '']","['0-1', '0-2', '0-3', '0-4', '', '', '', '', '', '5-5', '', '', '7-6', '7-7', '', '8-8', '8-9', '8-10', '', '', '', '', '12-11', '12-12', '', '13-13', '', '', '', '']"
27,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141070/spirit-academy-vs-websterz,"['1-0', '', '', '2-2', '', '3-3', '4-3', '', '', '', '5-6', '6-6', '7-6', '8-6', '9-6', '', '', '', '', '', '10-11', '11-11', '', '', '', '', '12-15', '', '', '']","['', '1-1', '1-2', '', '2-3', '', '', '4-4', '4-5', '4-6', '', '', '', '', '', '9-7', '9-8', '9-9', '9-10', '9-11', '', '', '11-12', '11-13', '11-14', '11-15', '', '12-16', '', '']"
28,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141068/websterz-vs-spirit-academy,"['', '1-1', '2-1', '3-1', '', '4-2', '', '', '', '', '', '5-7', '', '', '', '', '', '', '', '6-14', '', '', '', '', '', '', '', '', '', '']","['0-1', '', '', '', '3-2', '', '4-3', '4-4', '4-5', '4-6', '4-7', '', '5-8', '5-9', '5-10', '5-11', '5-12', '5-13', '5-14', '', '6-15', '6-16', '', '', '', '', '', '', '', '']"
29,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141067/big-academy-vs-young-ninjas,"['1-0', '2-0', '', '', '', '', '', '3-5', '', '', '4-7', '5-7', '', '6-8', '7-8', '', '', '', '8-11', '9-11', '10-11', '11-11', '12-11', '', '', '13-13', '', '', '', '']","['', '', '2-1', '2-2', '2-3', '2-4', '2-5', '', '3-6', '3-7', '', '', '5-8', '', '', '7-9', '7-10', '7-11', '', '', '', '', '', '12-12', '12-13', '', '13-14', '13-15', '13-16', '']"
30,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141066/mouz-nxt-vs-astralis-talent,"['1-0', '2-0', '3-0', '', '4-1', '5-1', '', '', '', '6-4', '', '', '', '', '', '7-9', '8-9', '9-9', '', '', '', '', '10-13', '', '', '', '', '', '', '']","['', '', '', '3-1', '', '', '5-2', '5-3', '5-4', '', '6-5', '6-6', '6-7', '6-8', '6-9', '', '', '', '9-10', '9-11', '9-12', '9-13', '', '10-14', '10-15', '10-16', '', '', '', '']"
31,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141064/young-ninjas-vs-apeks-rebels,"['1-0', '2-0', '', '3-1', '4-1', '5-1', '', '', '', '', '', '6-6', '7-6', '8-6', '', '', '', '', '', '', '', '', '9-14', '', '', '', '', '', '', '']","['', '', '2-1', '', '', '', '5-2', '5-3', '5-4', '5-5', '5-6', '', '', '', '8-7', '8-8', '8-9', '8-10', '8-11', '8-12', '8-13', '8-14', '', '9-15', '9-16', '', '', '', '', '']"
